quote,author,tags,embedding_text
“Be yourself; everyone else is already taken.”,Oscar Wilde,"be-yourself, gilbert-perreira, honesty, inspirational, misattributed-oscar-wilde, quote-investigator","Quote: “Be yourself; everyone else is already taken.” Author: Oscar Wilde Tags: be-yourself, gilbert-perreira, honesty, inspirational, misattributed-oscar-wilde, quote-investigator"
"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe,"best, life, love, mistakes, out-of-control, truth, worst","Quote: “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.” Author: Marilyn Monroe Tags: best, life, love, mistakes, out-of-control, truth, worst"
“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Albert Einstein,"human-nature, humor, infinity, philosophy, science, stupidity, universe","Quote: “Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.” Author: Albert Einstein Tags: human-nature, humor, infinity, philosophy, science, stupidity, universe"
"“So many books, so little time.”",Frank Zappa,"books, humor","Quote: “So many books, so little time.” Author: Frank Zappa Tags: books, humor"
“A room without books is like a body without a soul.”,Marcus Tullius Cicero,"books, simile, soul","Quote: “A room without books is like a body without a soul.” Author: Marcus Tullius Cicero Tags: books, simile, soul"
"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",Bernard M. Baruch,"ataraxy, be-yourself, confidence, fitting-in, individuality, misattributed-dr-seuss, those-who-matter","Quote: “Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.” Author: Bernard M. Baruch Tags: ataraxy, be-yourself, confidence, fitting-in, individuality, misattributed-dr-seuss, those-who-matter"
"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”",William W. Purkey,"dance, heaven, hurt, inspirational, life, love, sing","Quote: “You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.” Author: William W. Purkey Tags: dance, heaven, hurt, inspirational, life, love, sing"
“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”,Dr. Seuss,"dreams, love, reality, sleep","Quote: “You know you're in love when you can't fall asleep because reality is finally better than your dreams.” Author: Dr. Seuss Tags: dreams, love, reality, sleep"
"“You only live once, but if you do it right, once is enough.”",Mae West,"humor, life","Quote: “You only live once, but if you do it right, once is enough.” Author: Mae West Tags: humor, life"
“Be the change that you wish to see in the world.”,Mahatma Gandhi,"action, change, inspirational, philosophy, wish","Quote: “Be the change that you wish to see in the world.” Author: Mahatma Gandhi Tags: action, change, inspirational, philosophy, wish"
“In three words I can sum up everything I've learned about life: it goes on.”,Robert Frost,life,Quote: “In three words I can sum up everything I've learned about life: it goes on.” Author: Robert Frost Tags: life
"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”","J.K. Rowling,","character, sirius-black","Quote: “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.” Author: J.K. Rowling, Tags: character, sirius-black"
“Donâ€™t walk in front of meâ€¦ I may not followDonâ€™t walk behind meâ€¦ I may not leadWalk beside meâ€¦ just be my friend”,Albert Camus,"friends, friendship, misattributed-albert-camus","Quote: “Donâ€™t walk in front of meâ€¦ I may not followDonâ€™t walk behind meâ€¦ I may not leadWalk beside meâ€¦ just be my friend” Author: Albert Camus Tags: friends, friendship, misattributed-albert-camus"
"“If you tell the truth, you don't have to remember anything.”",Mark Twain,"lies, lying, memory, truth","Quote: “If you tell the truth, you don't have to remember anything.” Author: Mark Twain Tags: lies, lying, memory, truth"
"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”","C.S. Lewis,",friendship,"Quote: “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .” Author: C.S. Lewis, Tags: friendship"
“A friend is someone who knows all about you and still loves you.”,Elbert Hubbard,"friend, friendship, knowledge, love","Quote: “A friend is someone who knows all about you and still loves you.” Author: Elbert Hubbard Tags: friend, friendship, knowledge, love"
